City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taoudenni,22.6783,-3.9836,289.05,14,0,4.55,ML,1674348872
1,caravelas,-17.7125,-39.2481,296.58,95,100,2.6,BR,1674348873
2,ponta do sol,32.6667,-17.1,291.32,78,45,2.77,PT,1674348874
3,dhidhdhoo,6.8833,73.1,299.45,68,63,5.63,MV,1674348874
4,albany,42.6001,-73.9662,272.95,79,99,2.67,US,1674348720
5,yellowknife,62.456,-114.3525,263.46,85,100,4.12,CA,1674348326
6,bambanglipuro,-7.95,110.2833,299.68,80,24,2.06,ID,1674348875
7,jamestown,42.097,-79.2353,272.92,66,100,3.09,US,1674348771
8,rikitea,-23.1203,-134.9692,298.75,79,100,8.0,PF,1674348875
9,east london,-33.0153,27.9116,297.58,89,100,3.6,ZA,1674348876
10,yen bai,21.7,104.8667,287.89,78,86,0.79,VN,1674348876
11,mataura,-46.1927,168.8643,289.69,48,100,2.29,NZ,1674348877
12,carnarvon,-24.8667,113.6333,296.93,79,93,6.4,AU,1674348877
13,butaritari,3.0707,172.7902,300.57,73,100,7.13,KI,1674348878
14,san andres,12.5847,-81.7006,300.16,74,20,4.63,CO,1674348857
15,sabha,27.0377,14.4283,284.71,20,100,3.98,LY,1674348878
16,jamkhed,18.7362,75.3121,290.48,55,22,0.33,IN,1674348879
17,freeport,40.6576,-73.5832,277.47,64,68,0.89,US,1674348879
18,yanam,16.7333,82.2167,293.11,94,85,1.6,IN,1674348880
19,campbell river,50.0163,-125.2446,277.36,100,75,0.0,CA,1674348880
20,constitucion,-35.3333,-72.4167,287.46,85,0,5.61,CL,1674348880
21,dong hoi,17.4833,106.6,291.95,85,61,1.9,VN,1674348638
22,aroeiras,-7.5453,-35.7075,297.09,80,1,2.82,BR,1674348881
23,atuona,-9.8,-139.0333,299.0,80,23,7.65,PF,1674348882
24,petropavl,54.8753,69.1628,262.14,62,0,5.0,KZ,1674348882
25,punta arenas,-53.15,-70.9167,285.21,50,0,11.83,CL,1674348882
26,aklavik,68.2191,-135.0107,254.15,84,100,3.09,CA,1674348883
27,bredasdorp,-34.5322,20.0403,291.4,85,13,2.24,ZA,1674348883
28,mangan,27.5167,88.5333,283.94,44,0,2.72,IN,1674348884
29,saskylakh,71.9167,114.0833,236.4,93,98,1.47,RU,1674348884
30,kostomuksha,64.571,30.5767,263.75,97,90,2.75,RU,1674348884
31,nikolskoye,59.7035,30.7861,270.09,99,68,1.82,RU,1674348885
32,cape town,-33.9258,18.4232,294.31,73,40,2.57,ZA,1674348731
33,mackenzie,55.2999,-123.1698,274.27,86,75,4.12,CA,1674348885
34,kununurra,-15.7667,128.7333,299.14,89,100,2.06,AU,1674348886
35,vaini,-21.2,-175.2,305.24,70,20,4.12,TO,1674348886
36,torbay,47.6666,-52.7314,273.57,99,100,18.52,CA,1674348886
37,nanlong,31.3533,106.0631,277.92,82,76,0.67,CN,1674348887
38,college,64.8569,-147.8028,259.03,80,100,4.12,US,1674348840
39,diofior,14.1833,-16.6667,290.34,73,31,4.4,SN,1674348888
40,bandarbeyla,9.4942,50.8122,296.62,71,25,8.81,SO,1674348888
41,pitsunda,43.1592,40.3378,277.25,64,100,3.45,GE,1674348888
42,kodiak,57.79,-152.4072,274.88,51,0,2.57,US,1674348591
43,castleblayney,54.1167,-6.7333,281.38,95,100,6.69,IE,1674348889
44,busselton,-33.65,115.3333,302.41,33,0,4.25,AU,1674348889
45,buluang,13.3068,123.3425,299.14,79,92,2.22,PH,1674348890
46,port alfred,-33.5906,26.891,294.92,96,100,4.47,ZA,1674348890
47,saint anthony,45.0205,-93.218,269.4,94,100,2.06,US,1674348890
48,plettenberg bay,-34.0527,23.3716,293.74,92,72,3.88,ZA,1674348891
49,longyearbyen,78.2186,15.6401,270.06,74,75,11.83,SJ,1674348891
50,hermanus,-34.4187,19.2345,289.71,83,71,2.81,ZA,1674348860
51,morros,-9.4467,-46.3003,296.05,87,99,0.97,BR,1674348892
52,santa maria,-29.6842,-53.8069,296.76,100,75,1.03,BR,1674348893
53,vrangel,42.7297,133.0839,264.04,74,17,2.82,RU,1674348811
54,tiksi,71.6872,128.8694,244.75,90,100,2.07,RU,1674348893
55,ushuaia,-54.8,-68.3,281.96,71,40,11.32,AR,1674348894
56,saint-philippe,-21.3585,55.7679,298.92,86,93,3.91,RE,1674348894
57,qaanaaq,77.484,-69.3632,238.51,61,59,3.12,GL,1674348895
58,coro,11.4045,-69.6734,297.01,86,5,6.86,VE,1674348895
59,kavieng,-2.5744,150.7967,301.93,72,100,1.25,PG,1674348895
60,talnakh,69.4865,88.3972,254.43,67,100,6.6,RU,1674348896
61,cabo san lucas,22.8909,-109.9124,294.29,60,0,2.41,MX,1674348829
62,tazmalt,36.3868,4.3989,276.25,89,81,1.92,DZ,1674348896
63,raga,8.4596,25.678,294.87,23,6,1.95,SS,1674348897
